Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,RJML,SSBL,CJPL
Aaron Judge,2024,R,NYY,32,11.2061,158,704,592450,2024,559,180,36,1,58,171,133,24.3,18.9,0.322,0.701,0.458,1.159,0.367,144,0,10,1160,422,22,9,20,0,2,122,1635,0.315,0.742,0.476,0.484,0.453,26.9,8.5,19.7,2885,30.7,390,183.482,12.3,730,55.1,886.0,105.0,33.0,77.0,5.400000000000002,0.418,15640,-9.8786,94.9147,-0.4796,218.4324,"Judge, Aaron",897.0,Aaron Judge,CAM,TT,ILK
Bobby Witt Jr.,2024,R,KCR,24,10.3576,161,709,677951,2024,636,211,45,11,32,106,57,15.0,8.0,0.332,0.588,0.389,0.977,0.354,109,12,31,848,359,4,8,9,0,8,125,1689,0.321,0.594,0.41,0.413,0.384,14.3,5.6,24.9,2600,22.3,538,149.927,9.0,656,44.8,580.0,77.0,30.0,134.0,7.0,0.464,25764,17.3413,59.3135,4.5217,167.5445,"Witt Jr., Bobby",6.0,Bobby Witt Jr.,RAC,IR,GAP
Shohei Ohtani,2024,L,LAD,29,9.0749,159,731,660271,2024,636,197,38,7,54,162,81,22.2,11.1,0.31,0.646,0.39,1.036,0.336,130,4,59,1018,408,7,6,10,0,5,134,1751,0.32,0.678,0.431,0.448,0.401,21.5,9.0,20.7,2838,29.8,479,174.112,10.3,756,51.2,846.0,103.0,43.0,99.0,11.1,0.444,19755,-17.1759,80.7037,9.7708,181.1447,"Ohtani, Shohei",,Shohei Ohtani*,HVH,TT,WWL
Juan Soto,2024,L,NYY,25,8.1493,157,713,665742,2024,576,166,31,4,41,119,129,16.7,18.1,0.288,0.569,0.419,0.988,0.298,109,4,7,1200,560,10,4,2,0,4,128,1661,0.319,0.658,0.421,0.463,0.447,19.7,6.3,22.6,2960,21.5,461,147.009,9.3,650,48.6,636.0,91.0,29.0,104.0,-1.400000000000002,0.41,20123,-6.0094,61.1482,-3.8174,179.637,"Soto, Juan",97.0,Juan Soto*,ALA,ECB,SEA
Gunnar Henderson,2024,L,BAL,23,8.0134,159,719,683002,2024,630,177,31,7,37,159,78,22.1,10.8,0.281,0.529,0.364,0.893,0.32,92,4,21,1077,484,2,7,1,0,4,118,1765,0.289,0.505,0.381,0.379,0.373,11.2,8.6,24.4,2896,24.4,475,130.969,7.6,606,44.2,707.0,53.0,41.0,116.0,11.3,0.464,26289,4.598,49.0259,3.988,154.7482,"Henderson, Gunnar",6.0,Gunnar Henderson*,PR,NB,MMA
Francisco Lindor,2024,B,NYM,30,7.6047,151,689,596019,2024,618,169,39,1,33,127,56,18.4,8.1,0.273,0.5,0.344,0.844,0.295,88,4,29,911,414,7,12,0,0,3,105,1727,0.287,0.539,0.363,0.382,0.357,13.6,5.7,26.3,2713,23.7,494,112.613,6.6,555,45.6,643.0,67.0,28.0,130.0,10.3,0.471,12916,17.3753,33.4821,3.7708,136.3242,"Lindor, Francisco",6.0,Francisco Lindor#,CK,HOB,BAB
Jarren Duran,2024,L,BOS,27,6.7157,160,735,680776,2024,671,191,48,14,21,160,54,21.8,7.3,0.285,0.492,0.342,0.834,0.345,75,7,34,961,459,6,6,1,1,3,111,1832,0.28,0.464,0.357,0.346,0.338,9.3,6.2,25.4,2844,24.8,515,118.223,6.4,577,40.9,705.0,48.0,32.0,131.0,14.5,0.496,24617,7.959,32.5662,8.158,129.0248,"Duran, Jarren",87.0,Jarren Duran*,DAY,WC,JFS
Jose Ramirez,2024,B,CLE,31,6.4699,158,682,608070,2024,620,173,39,2,39,82,54,12.0,7.9,0.279,0.537,0.335,0.872,0.265,118,7,41,905,411,9,1,12,0,6,114,1763,0.262,0.46,0.364,0.332,0.323,8.6,8.5,19.7,2735,15.2,544,114.754,6.6,606,36.8,416.0,47.0,46.0,107.0,4.1,0.498,13510,1.4125,38.4997,6.292,141.2759,"Ramírez, José",5.0,Jose Ramirez#,RAM,ECB,FMB
Elly De La Cruz,2024,B,CIN,22,6.35,160,696,682829,2024,618,160,36,10,25,218,69,31.3,9.9,0.259,0.471,0.339,0.81,0.359,76,16,67,980,514,12,6,2,2,1,105,1707,0.244,0.438,0.349,0.331,0.325,12.7,6.2,22.8,2751,33.3,403,103.018,5.7,563,41.7,916.0,51.0,25.0,92.0,21.4,0.498,26668,16.2244,22.0852,7.2301,117.8483,"De La Cruz, Elly",6.0,Elly De La Cruz#,CC,WC,RAH
Ketel Marte,2024,B,ARI,30,6.2729,136,583,606466,2024,504,147,23,2,36,106,65,18.2,11.1,0.292,0.56,0.372,0.932,0.299,95,1,7,777,291,9,5,7,0,9,93,1326,0.298,0.549,0.391,0.395,0.382,12.3,7.4,24.6,2146,21.3,407,108.897,7.8,501,44.3,457.0,50.0,30.0,100.0,7.1,0.45,13613,4.6667,36.6585,0.9686,151.1926,"Marte, Ketel",4.0,Ketel Marte#,RAM,MVR,ILK
Vladimir Guerrero Jr.,2024,R,TOR,25,5.4591,159,697,665489,2024,616,199,44,1,30,96,72,13.8,10.3,0.323,0.544,0.396,0.94,0.342,103,2,2,898,406,16,5,12,0,4,98,1655,0.323,0.576,0.398,0.41,0.397,13.7,6.3,23.9,2602,21.5,524,131.413,8.1,567,43.9,559.0,72.0,33.0,125.0,3.5,0.459,19611,-16.6773,46.3019,-5.5545,165.0265,"Guerrero Jr., Vladimir",35.0,Vladimir Guerrero Jr.,RM,PP,ANG
Matt Chapman,2024,R,SFG,31,5.4501,154,647,656305,2024,575,142,39,2,27,158,64,24.4,9.9,0.247,0.463,0.328,0.791,0.293,78,2,15,916,520,13,6,3,0,2,98,1727,0.254,0.462,0.34,0.344,0.336,12.6,8.1,20.5,2706,23.5,419,88.988,5.3,485,41.2,636.0,53.0,34.0,86.0,14.499999999999998,0.511,16505,11.6169,19.6108,3.7034,120.56,"Chapman, Matt",5.0,Matt Chapman,ROC,SIP,OCG
Cal Raleigh,2024,B,SEA,27,5.4261,153,628,663728,2024,546,120,16,0,34,176,70,28.0,11.1,0.22,0.436,0.312,0.748,0.251,100,1,6,821,296,7,6,4,0,6,73,1611,0.235,0.486,0.323,0.347,0.327,15.4,6.9,23.4,2514,31.0,376,78.721,4.8,451,45.7,779.0,58.0,26.0,88.0,16.9,0.504,21534,21.7607,9.8444,-2.4213,117.0708,"Raleigh, Cal",2.0,Cal Raleigh#,WHI,SR,MBL
William Contreras,2024,R,MIL,26,5.4222,155,679,661388,2024,595,167,37,2,23,139,78,20.5,11.5,0.281,0.466,0.365,0.831,0.33,92,2,9,970,363,19,3,5,0,3,99,1631,0.271,0.483,0.359,0.36,0.357,10.0,7.8,23.5,2677,27.8,459,101.297,6.1,514,41.3,744.0,46.0,36.0,108.0,9.0,0.468,20503,7.524,22.3679,-2.5871,130.734,"Contreras, William",2.0,William Contreras,HOM,KR,BAB
Jackson Merrill,2024,L,SDP,21,5.267,156,593,701538,2024,554,162,31,6,24,101,29,17.0,4.9,0.292,0.5,0.326,0.826,0.318,90,3,16,665,226,2,1,1,4,5,77,1486,0.304,0.543,0.352,0.373,0.338,11.3,7.8,25.3,2214,20.5,462,93.828,6.2,465,44.4,454.0,52.0,36.0,117.0,12.1,0.486,29490,6.2845,24.9679,3.7481,129.9237,"Merrill, Jackson",8.0,Jackson Merrill*,avail,rook,rook
Yordan Alvarez,2024,L,HOU,27,5.2591,147,635,670541,2024,552,170,34,2,35,95,69,15.0,10.9,0.308,0.567,0.392,0.959,0.317,86,0,6,789,339,14,10,16,0,4,88,1422,0.308,0.612,0.402,0.416,0.393,14.5,7.6,24.5,2264,19.9,461,123.821,8.4,523,46.6,451.0,67.0,35.0,113.0,4.1,0.438,19556,-16.6432,46.3984,-2.8781,167.8246,"Alvarez, Yordan",7.0,Yordan Alvarez*,DV,CW,ANG
Bryce Harper,2024,L,PHI,31,5.1829,145,631,547180,2024,550,157,42,0,30,138,76,21.9,12.0,0.285,0.525,0.373,0.898,0.331,87,4,7,876,237,18,2,11,1,2,85,1542,0.271,0.488,0.38,0.361,0.362,10.6,9.6,25.5,2469,26.6,415,105.19,6.8,495,45.7,657.0,44.0,40.0,106.0,9.9,0.471,11579,-4.2964,33.4693,-0.4716,144.9805,"Harper, Bryce",3.0,Bryce Harper*,HVH,HOB,ILK
Brent Rooker,2024,R,OAK,29,5.1045,145,614,667670,2024,546,160,26,2,39,177,59,28.8,9.6,0.293,0.562,0.365,0.927,0.362,112,3,11,794,310,5,5,4,0,4,82,1503,0.269,0.57,0.392,0.383,0.344,16.6,8.6,21.4,2378,34.1,373,116.232,7.9,529,46.6,811.0,62.0,32.0,80.0,19.200000000000003,0.486,19627,-16.5793,45.5371,0.8333,163.6351,"Rooker Jr., Brent",79.0,Brent Rooker,GNB,WAU,WAW
Marcell Ozuna,2024,R,ATL,33,4.769,160,688,542303,2024,606,183,31,0,39,170,74,24.7,10.8,0.302,0.546,0.378,0.924,0.359,102,0,1,1031,392,22,3,2,0,4,96,1720,0.29,0.584,0.394,0.405,0.371,15.5,11.4,25.2,2875,31.4,440,122.326,7.4,546,52.1,903.0,68.0,50.0,111.0,13.9,0.439,10324,-17.284,40.8509,-4.5852,155.9579,"Ozuna, Marcell",,Marcell Ozuna,HOM,ECB,MMA
Willy Adames,2024,R,MIL,28,4.7201,161,688,642715,2024,610,153,33,0,32,173,74,25.1,10.8,0.251,0.462,0.331,0.793,0.297,112,4,21,908,385,12,1,3,0,3,93,1737,0.248,0.474,0.342,0.344,0.329,12.0,8.6,21.4,2733,29.5,440,96.509,5.5,535,42.0,806.0,53.0,38.0,94.0,14.3,0.5,15986,5.5753,17.2193,1.2337,119.4299,"Adames, Willy",6.0,Willy Adames,ROC,CB,ANG
Corey Seager,2024,L,TEX,30,4.5312,123,533,608369,2024,475,132,21,0,30,96,53,18.0,9.9,0.278,0.512,0.353,0.865,0.291,74,1,1,671,173,8,3,11,0,2,68,1166,0.292,0.574,0.365,0.394,0.367,15.2,9.7,22.6,1872,23.4,381,86.061,6.6,403,47.5,438.0,58.0,37.0,86.0,8.1,0.43,13624,6.7328,19.374,-5.2157,140.3223,"Seager, Corey",6.0,Corey Seager*,PR,NB,GAP
Mookie Betts,2024,R,LAD,31,4.382,116,516,605141,2024,450,130,24,5,19,57,61,11.0,11.8,0.289,0.491,0.372,0.863,0.294,75,2,16,772,410,10,1,2,0,4,75,1236,0.288,0.462,0.371,0.363,0.374,6.0,10.1,28.2,2047,14.9,397,86.163,6.9,418,44.3,305.0,24.0,40.0,112.0,-0.8000000000000007,0.432,13611,-0.6721,25.9194,0.5934,141.0437,"Betts, Mookie",694.0,Mookie Betts,CK,TBD,ANG
Patrick Bailey,2024,B,SFG,25,4.3387,121,448,672275,2024,401,94,16,1,8,100,39,22.3,8.7,0.234,0.339,0.298,0.637,0.287,46,0,4,619,267,10,0,0,1,7,46,1127,0.259,0.404,0.281,0.321,0.326,5.5,7.1,29.1,1787,23.4,309,41.836,3.5,254,41.7,418.0,17.0,22.0,90.0,13.6,0.486,27478,36.775,-9.683,0.4922,81.0069,"Bailey, Patrick",2.0,Patrick Bailey#,HAL,SSF,MMA
Dansby Swanson,2024,R,CHC,30,4.3352,149,593,621020,2024,534,129,27,2,16,144,54,24.3,9.1,0.242,0.39,0.312,0.702,0.3,66,3,19,805,346,7,2,2,0,3,82,1494,0.248,0.425,0.307,0.324,0.319,9.2,7.9,22.4,2355,28.7,393,68.902,4.5,405,39.5,676.0,36.0,31.0,88.0,15.2,0.503,18314,18.8202,3.4103,4.441,98.5465,"Swanson, Dansby",6.0,Dansby Swanson,DV,CW,MBL
Jurickson Profar,2024,B,SDP,31,4.2961,158,668,595777,2024,564,158,29,0,24,101,76,15.1,11.4,0.28,0.459,0.38,0.839,0.302,85,3,10,994,423,14,18,4,5,5,94,1673,0.283,0.448,0.365,0.364,0.384,7.2,4.9,29.2,2739,16.9,473,103.006,6.4,506,41.3,463.0,34.0,23.0,138.0,3.6999999999999993,0.468,10815,-11.18,30.5347,-0.7819,139.2038,"Profar, Jurickson",73.0,Jurickson Profar#,GRF,SSF,WAW
Carlos Correa,2024,R,MIN,29,4.2702,86,367,621043,2024,319,99,20,2,14,61,40,16.6,10.9,0.31,0.517,0.388,0.905,0.343,54,0,0,470,251,5,3,4,0,4,55,864,0.279,0.462,0.385,0.359,0.364,9.2,7.6,21.0,1375,20.4,262,66.336,7.8,298,37.8,280.0,24.0,20.0,55.0,5.700000000000001,0.484,14162,6.3763,22.7368,-0.5681,155.501,"Correa, Carlos",6.0,Carlos Correa,PR,TT,ILK
Kyle Tucker,2024,L,HOU,27,4.1885,78,339,663656,2024,277,80,13,0,23,54,56,15.9,16.5,0.289,0.585,0.408,0.993,0.282,49,0,11,542,209,5,1,3,0,2,56,773,0.286,0.556,0.419,0.407,0.405,12.9,7.6,24.4,1349,19.0,225,71.814,9.5,307,44.9,256.0,29.0,17.0,55.0,-0.5999999999999996,0.423,18345,-1.4451,30.7008,-0.3251,179.9918,"Tucker, Kyle",9.0,Kyle Tucker*,DV,SIP,MMA
Marcus Semien,2024,R,TEX,33,4.1678,159,718,543760,2024,650,154,27,2,23,105,64,14.6,8.9,0.237,0.391,0.308,0.699,0.25,74,3,8,895,354,9,3,2,0,1,101,1667,0.257,0.404,0.306,0.319,0.327,6.6,4.8,25.5,2626,20.2,546,80.218,4.3,469,36.9,530.0,36.0,26.0,139.0,5.699999999999999,0.481,12533,15.8427,0.579,1.4233,98.9722,"Semien, Marcus",4.0,Marcus Semien,GRF,SLB,OCG
Steven Kwan,2024,L,CLE,26,4.1426,122,540,680757,2024,480,140,16,3,14,51,53,9.4,9.8,0.292,0.425,0.368,0.793,0.304,44,5,12,784,500,5,5,0,2,0,83,1346,0.286,0.39,0.349,0.334,0.363,2.6,5.3,27.8,2165,8.0,431,78.807,6.0,379,35.7,173.0,11.0,23.0,120.0,-0.4000000000000003,0.48,24610,2.8593,19.2523,0.1952,130.8449,"Kwan, Steven",7.0,Steven Kwan*,SV,SR,GDJ
Rafael Devers,2024,L,BOS,27,4.128,138,601,646240,2024,525,143,34,5,28,147,67,24.5,11.1,0.272,0.516,0.354,0.87,0.323,83,0,3,820,292,13,3,14,0,6,87,1501,0.274,0.52,0.364,0.366,0.357,13.0,8.6,21.4,2375,30.9,384,96.586,6.5,473,43.0,734.0,50.0,33.0,82.0,13.4,0.493,17350,-2.5945,22.5309,-0.8911,134.062,"Devers, Rafael",5.0,Rafael Devers*,ALA,TBD,SEA
Alex Bregman,2024,R,HOU,30,4.1264,145,634,608324,2024,581,151,30,2,26,86,44,13.6,6.9,0.26,0.453,0.315,0.768,0.264,75,1,3,818,451,13,5,1,0,4,79,1526,0.26,0.423,0.331,0.321,0.317,6.2,7.4,24.8,2393,12.8,499,81.887,4.9,429,38.4,306.0,31.0,37.0,124.0,6.699999999999999,0.478,17678,8.1059,10.7156,-2.3131,117.961,"Bregman, Alex",5.0,Alex Bregman,DAY,MVR,LWC
Freddie Freeman,2024,L,LAD,34,4.0467,147,638,518692,2024,542,153,35,2,22,100,78,15.7,12.2,0.282,0.476,0.378,0.854,0.306,89,2,9,889,309,13,10,9,0,8,81,1554,0.281,0.477,0.365,0.37,0.38,9.1,8.4,25.1,2522,20.2,450,101.799,6.7,488,42.6,509.0,41.0,38.0,113.0,3.5,0.464,5361,-9.0554,26.9943,-1.4379,137.2666,"Freeman, Freddie",3.0,Freddie Freeman*,SV,TBD,NYZ
Corbin Carroll,2024,L,ARI,23,4.0416,158,684,682998,2024,589,136,22,14,22,130,73,19.0,10.7,0.231,0.428,0.322,0.75,0.256,74,8,35,980,513,3,10,0,3,9,121,1609,0.247,0.403,0.325,0.329,0.339,7.2,7.0,18.7,2648,20.3,471,90.626,5.1,535,32.9,538.0,34.0,33.0,88.0,8.3,0.491,25878,-0.2114,16.5695,11.1079,106.6772,"Carroll, Corbin",89.0,Corbin Carroll*,VAN,HOB,SEA
Colton Cowser,2024,L,BAL,24,4.0193,153,561,681297,2024,499,121,24,3,24,172,52,30.7,9.3,0.242,0.447,0.321,0.768,0.317,69,4,9,786,436,9,7,2,0,3,77,1465,0.234,0.449,0.331,0.331,0.316,13.6,7.6,22.4,2311,30.3,330,72.652,5.0,400,43.6,700.0,45.0,25.0,74.0,21.4,0.509,29591,6.5338,13.6832,1.1219,119.57,"Cowser, Colton",789.0,Colton Cowser*,GH,HOB,WWL
Riley Greene,2024,L,DET,23,3.998,137,584,682985,2024,512,134,27,6,24,156,64,26.7,11.0,0.262,0.479,0.348,0.827,0.329,74,2,4,886,412,2,5,3,0,2,82,1481,0.258,0.49,0.355,0.357,0.345,13.4,8.1,22.9,2415,26.8,358,90.55,6.4,446,44.4,647.0,48.0,29.0,82.0,15.7,0.482,25976,-3.9758,23.2205,-0.15,134.9764,"Greene, Riley",789.0,Riley Greene*,HAR,SIP,MBL
Jazz Chisholm Jr.,2024,L,- - -,26,3.9899,147,621,665862,2024,562,144,21,4,24,152,53,24.5,8.5,0.256,0.436,0.324,0.76,0.309,73,10,40,881,383,6,4,5,0,2,74,1569,0.242,0.423,0.327,0.318,0.313,9.7,5.8,22.3,2495,29.1,412,83.521,5.2,449,37.8,726.0,40.0,24.0,92.0,16.0,0.504,20454,4.9975,12.9507,6.1656,109.5636,"Chisholm Jr., Jazz",854.0,Jazz Chisholm Jr.*,HAL,KR,ANG
Trea Turner,2024,R,PHI,31,3.9392,121,539,607208,2024,505,149,25,0,21,98,27,18.2,5.0,0.295,0.469,0.338,0.807,0.331,62,4,19,650,255,10,6,0,0,1,88,1353,0.269,0.43,0.349,0.322,0.313,6.9,5.6,23.5,2043,26.1,408,79.786,5.8,404,36.0,533.0,28.0,23.0,96.0,13.2,0.518,16252,2.0824,18.1116,2.633,124.0145,"Turner, Trea",6.0,Trea Turner,HAL,KR,OBS
Jackson Chourio,2024,R,MIL,20,3.9359,148,573,694192,2024,528,145,29,4,21,121,39,21.1,6.8,0.275,0.464,0.327,0.791,0.32,79,7,22,657,370,7,3,4,1,2,80,1397,0.278,0.438,0.339,0.33,0.33,7.8,6.6,23.9,2103,27.1,410,80.878,5.5,434,38.3,570.0,32.0,27.0,98.0,14.3,0.515,28806,3.3238,15.7066,3.9528,117.1535,"Chourio, Jackson",79.0,Jackson Chourio,avail,rook,rook
Jose Altuve,2024,R,HOU,34,3.9353,153,682,514888,2024,628,185,31,0,20,119,47,17.4,6.9,0.295,0.439,0.35,0.789,0.337,65,7,22,784,361,15,7,2,0,0,94,1624,0.264,0.406,0.344,0.318,0.322,6.5,3.9,28.5,2454,21.9,509,95.76,5.6,469,38.9,537.0,33.0,20.0,145.0,10.499999999999998,0.5,5417,-5.3511,20.7217,-0.7219,127.481,"Altuve, Jose",4.0,Jose Altuve,CC,NB,NYZ
Nico Hoerner,2024,R,CHC,27,3.9224,151,641,663538,2024,582,159,35,1,7,66,44,10.3,6.9,0.273,0.373,0.335,0.708,0.297,48,6,31,701,441,8,12,1,0,3,86,1560,0.283,0.357,0.313,0.314,0.346,1.2,2.1,31.0,2314,11.6,519,78.073,4.8,417,34.3,268.0,6.0,11.0,161.0,3.4000000000000004,0.52,21479,9.3711,7.2644,4.9996,102.9546,"Hoerner, Nico",46.0,Nico Hoerner,CK,IR,MMA
Julio Rodriguez,2024,R,SEA,23,3.8248,143,613,677594,2024,567,155,17,0,20,156,38,25.4,6.2,0.273,0.409,0.325,0.734,0.344,68,5,24,761,272,10,6,1,0,2,76,1567,0.279,0.472,0.321,0.346,0.331,10.2,6.1,25.4,2385,30.9,413,77.052,4.8,409,41.7,737.0,42.0,25.0,105.0,19.2,0.513,23697,3.6619,12.9386,1.9591,115.6546,"Rodríguez, Julio",8.0,Julio Rodriguez,DAY,WC,OBS
Eugenio Suarez,2024,R,ARI,32,3.7801,158,640,553993,2024,571,146,28,2,30,176,49,27.5,7.7,0.256,0.469,0.319,0.788,0.309,101,1,2,858,423,10,9,0,0,11,90,1623,0.249,0.456,0.337,0.332,0.316,11.3,8.9,25.6,2542,29.1,406,87.405,5.3,478,45.8,740.0,46.0,36.0,104.0,19.8,0.492,12552,4.9125,10.3787,-1.137,115.0466,"Suárez, Eugenio",5.0,Eugenio Suarez,DV,SR,NYZ
Brenton Doyle,2024,R,COL,26,3.6799,149,603,686668,2024,542,141,24,4,23,153,46,25.4,7.6,0.26,0.446,0.317,0.763,0.316,72,5,30,714,291,13,3,1,4,8,82,1400,0.259,0.448,0.328,0.333,0.32,10.5,6.0,24.4,2158,29.7,401,78.818,4.9,438,40.9,641.0,42.0,24.0,98.0,17.799999999999997,0.497,25479,12.1445,3.4084,5.3495,97.3082,"Doyle, Brenton",8.0,Brenton Doyle,GH,KR,MBL
Byron Buxton,2024,R,MIN,30,3.6719,102,388,621439,2024,355,99,27,3,18,99,20,25.5,5.2,0.279,0.524,0.335,0.859,0.338,56,2,7,452,174,3,11,1,0,2,62,962,0.269,0.516,0.366,0.358,0.327,13.2,8.5,20.9,1458,32.1,258,63.943,6.6,319,42.6,468.0,34.0,22.0,54.0,20.3,0.509,14161,1.3387,21.2813,2.7735,141.6913,"Buxton, Byron",8.0,Byron Buxton,RAM,SLB,LWC
Ezequiel Tovar,2024,R,COL,22,3.6307,157,695,678662,2024,655,176,45,4,26,200,23,28.8,3.3,0.269,0.469,0.295,0.764,0.344,78,5,6,652,241,16,4,1,5,7,83,1817,0.235,0.406,0.324,0.289,0.265,9.0,7.7,25.5,2528,33.5,467,84.738,4.5,459,42.2,847.0,42.0,36.0,119.0,25.5,0.563,24064,16.185,-4.1722,0.0627,94.9045,"Tovar, Ezequiel",6.0,Ezequiel Tovar,SV,SIP,GAP
Ian Happ,2024,B,CHC,29,3.5882,153,657,664023,2024,569,138,34,2,25,168,80,25.6,12.2,0.243,0.441,0.341,0.782,0.299,86,2,13,978,427,7,6,1,0,2,89,1676,0.247,0.458,0.341,0.349,0.346,11.7,7.7,23.6,2721,27.8,403,91.923,5.6,491,43.0,756.0,47.0,31.0,95.0,13.400000000000002,0.489,17919,-5.4858,18.353,1.2646,121.7504,"Happ, Ian",7.0,Ian Happ#,ALA,IR,STL
Masyn Winn,2024,R,STL,22,3.5618,150,637,691026,2024,587,157,32,5,15,109,41,17.1,6.4,0.267,0.416,0.314,0.73,0.303,57,5,11,827,483,1,1,1,3,5,85,1684,0.259,0.366,0.315,0.296,0.308,3.7,6.4,25.7,2558,18.8,486,80.151,4.9,421,35.8,481.0,18.0,31.0,125.0,10.7,0.522,27479,8.4199,4.8575,2.2155,103.4685,"Winn, Masyn",6.0,Masyn Winn,HOM,ECB,LWC
Manny Machado,2024,R,SDP,31,3.5582,152,643,592518,2024,593,163,30,0,29,124,45,19.3,7.0,0.275,0.472,0.325,0.797,0.302,105,2,11,765,339,25,1,6,0,4,77,1571,0.274,0.466,0.34,0.338,0.327,11.0,5.9,24.3,2387,24.4,473,84.405,4.9,463,41.2,582.0,52.0,28.0,115.0,12.3,0.495,11493,-3.4753,16.5181,-0.3617,121.9526,"Machado, Manny",5.0,Manny Machado,BRA,OCS,MMA
Seiya Suzuki,2024,R,CHC,29,3.5542,132,585,673548,2024,512,145,27,6,21,160,63,27.4,10.8,0.283,0.482,0.366,0.848,0.37,73,6,16,919,517,6,6,3,0,4,74,1511,0.258,0.463,0.365,0.348,0.346,11.5,10.1,25.3,2509,24.5,356,94.805,6.7,446,46.9,615.0,41.0,36.0,90.0,16.599999999999998,0.469,30116,-10.727,25.6618,-0.7731,137.7878,"Suzuki, Seiya",97.0,Seiya Suzuki,RM,PP,SEA
Oneil Cruz,2024,L,PIT,25,3.5058,146,599,665833,2024,541,140,34,3,21,181,51,30.2,8.5,0.259,0.449,0.324,0.773,0.347,76,1,22,787,426,8,3,5,0,4,72,1528,0.266,0.472,0.331,0.342,0.332,15.7,4.7,24.5,2381,34.1,364,83.16,5.4,437,44.9,812.0,57.0,17.0,89.0,21.7,0.504,21711,1.6502,12.3505,5.2817,109.8685,"Cruz, Oneil",68.0,Oneil Cruz*,GH,VM,STL
Alec Bohm,2024,R,PHI,27,3.4902,143,606,664761,2024,554,155,44,2,15,86,40,14.2,6.6,0.28,0.448,0.332,0.78,0.305,97,2,5,710,307,18,6,2,0,6,62,1361,0.291,0.453,0.335,0.345,0.345,6.8,9.1,25.7,2122,17.6,474,79.198,5.0,423,41.6,373.0,32.0,43.0,122.0,7.6,0.456,21618,5.566,8.0498,-2.628,114.7347,"Bohm, Alec",53.0,Alec Bohm,PR,TT,NYZ
Teoscar Hernandez,2024,R,LAD,31,3.4787,154,652,606192,2024,589,160,32,2,33,188,53,28.8,8.1,0.272,0.501,0.339,0.84,0.344,99,3,12,848,347,7,8,3,0,1,84,1681,0.253,0.496,0.36,0.348,0.323,14.9,7.5,20.4,2608,34.0,402,102.693,6.3,508,42.8,887.0,60.0,30.0,82.0,20.700000000000003,0.513,13066,-14.7815,26.7546,0.5935,133.5536,"Hernández, Teoscar",79.0,Teoscar Hernandez,HAL,SLB,HAM
Zach Neto,2024,R,LAA,23,3.4716,155,602,687263,2024,542,135,34,1,23,140,39,23.3,6.5,0.249,0.443,0.318,0.761,0.295,77,10,30,719,377,14,16,1,4,1,70,1496,0.237,0.423,0.33,0.318,0.308,8.4,8.4,21.1,2289,27.0,407,75.07,4.6,429,37.9,618.0,34.0,34.0,86.0,16.8,0.519,31347,2.0413,11.5062,1.7823,114.1176,"Neto, Zach",6.0,Zach Neto,DAY,WAU,OBS
Austin Wells,2024,L,NYY,24,3.4442,115,414,669224,2024,354,81,18,1,13,87,47,21.0,11.4,0.229,0.395,0.322,0.717,0.261,55,2,1,557,220,9,5,0,1,7,42,1027,0.244,0.439,0.315,0.341,0.341,9.1,7.3,23.3,1638,27.3,275,46.619,4.3,267,39.7,447.0,25.0,20.0,64.0,9.6,0.494,27562,18.8994,0.6492,-1.8211,105.2153,"Wells, Austin",2.0,Austin Wells*,TB,CW,GDJ
Kyle Schwarber,2024,L,PHI,31,3.4201,150,692,656941,2024,573,142,22,0,38,197,106,28.5,15.3,0.248,0.485,0.366,0.851,0.301,104,3,5,1125,524,6,5,4,0,8,110,1663,0.257,0.519,0.366,0.38,0.375,15.6,7.3,23.2,2852,32.0,384,110.216,6.6,561,46.1,913.0,60.0,28.0,89.0,13.2,0.459,16478,-16.7296,26.8037,-2.3928,135.2821,"Schwarber, Kyle",7.0,Kyle Schwarber*,HAR,VM,RAH
Anthony Volpe,2024,R,NYY,23,3.3825,160,689,683011,2024,637,155,27,7,12,156,42,22.6,6.1,0.243,0.364,0.293,0.657,0.303,60,7,28,888,521,9,4,1,2,3,90,1866,0.24,0.34,0.287,0.28,0.293,3.9,5.6,27.4,2797,22.5,486,70.144,3.8,430,36.9,629.0,19.0,27.0,133.0,16.5,0.539,27647,15.7894,-6.0044,5.1005,85.913,"Volpe, Anthony",6.0,Anthony Volpe,TB,SIP,JFS
Isaac Paredes,2024,R,- - -,25,3.3582,153,641,670623,2024,542,129,25,1,19,105,76,16.4,11.9,0.238,0.393,0.346,0.739,0.259,80,1,1,975,527,17,17,2,0,6,64,1803,0.224,0.348,0.327,0.308,0.336,4.5,7.2,23.9,2853,17.2,443,76.476,4.7,414,35.6,491.0,20.0,32.0,106.0,4.499999999999998,0.521,20036,-0.1599,11.3177,-0.7938,116.7184,"Paredes, Isaac",53.0,Isaac Paredes,HVH,NB,GDJ
