Name,Season,Bats,MLB,Age,WAR,G,PA,key_MLB,year,AB,H,D,T,HR,K,BB,Kpct,BBpct,AVG,SLG,OBP,OPS,BABIP,RBI,CS,SB,Balls,CStrikes,GDP,HBP,IBB,SH,SF,R,Strikes,XAVG,XSLG,WOBA,XWOBA,XOBP,barrelpct,solidpct,flareburnpct,Pitches,whiffpct,battedballs,RC,RC27,O,ICR,whiff,barrel,solid,flareburn,KminusBB,strICR,key_FG,Def,Off,BsR,wRC+,Last_First,Pos,Name2,RJML,SSBL,CJPL
Willie Calhoun,2024,L,LAA,29,-0.0446,68,254,641432,2024,229,56,16,0,5,31,23,12.2,9.1,0.245,0.38,0.315,0.695,0.263,20,1,0,348,170,5,1,1,0,1,26,588,0.258,0.358,0.305,0.306,0.329,3.0,5.5,27.1,958,13.2,199,27.24,4.1,146,35.6,126.0,6.0,11.0,54.0,3.0999999999999996,0.466,17838,-6.0156,-2.8824,-1.7985,96.2702,"Calhoun, Willie",3.0,Willie Calhoun*,avail,avail,avail
Billy McKinney,2024,L,PIT,29,-0.0467,10,28,641856,2024,25,5,1,0,0,13,2,46.4,7.1,0.2,0.24,0.286,0.526,0.417,2,0,0,35,20,1,1,0,0,0,4,74,0.166,0.234,0.246,0.227,0.255,8.3,0.0,25.0,114,48.1,12,1.695,2.2,14,33.3,55.0,1.0,0.0,3.0,39.3,0.579,15654,0.2415,-1.6259,-0.0337,52.4494,"McKinney, Billy",79.0,Billy McKinney*,avail,avail,avail
Angel Martinez,2024,B,CLE,22,-0.0486,43,169,682657,2024,151,35,7,0,3,33,15,19.5,8.9,0.232,0.338,0.298,0.636,0.274,11,1,3,215,126,2,0,0,1,2,16,455,0.222,0.308,0.282,0.27,0.292,1.7,5.8,23.1,677,19.5,121,16.136,3.6,91,30.6,132.0,2.0,7.0,28.0,10.6,0.563,26540,-3.4893,-2.6143,0.6496,83.1198,"Martínez, Angel",87954.0,Angel Martinez#,avail,rook,rook
Dillon Dingler,2024,R,DET,25,-0.0528,27,87,693307,2024,84,14,5,2,1,30,3,34.5,3.4,0.167,0.31,0.195,0.505,0.245,11,0,0,95,52,2,0,0,0,0,2,233,0.242,0.381,0.217,0.28,0.268,3.7,11.1,31.5,331,28.7,54,4.617,1.7,39,46.3,95.0,2.0,6.0,17.0,31.1,0.553,27464,2.5669,-5.9779,0.2472,37.461,"Dingler, Dillon",2.0,Dillon Dingler,avail,rook,rook
Jacob Hurtubise,2024,L,CIN,26,-0.0554,29,68,674441,2024,54,10,1,1,0,18,6,26.5,8.8,0.185,0.241,0.297,0.538,0.27,4,0,2,96,57,0,3,0,4,1,7,180,0.192,0.255,0.253,0.265,0.307,0.0,2.4,26.8,281,20.3,41,5.303,2.9,39,29.2,57.0,0.0,1.0,11.0,17.7,0.555,27599,0.2501,-3.0506,0.7317,53.4864,"Hurtubise, Jacob",79.0,Jacob Hurtubise*,avail,rook,rook
Jose Azocar,2024,R,SDP,28,-0.0581,61,79,640492,2024,73,16,2,0,0,19,5,24.1,6.3,0.219,0.247,0.269,0.516,0.296,2,1,5,76,28,1,0,0,1,0,13,210,0.231,0.31,0.235,0.264,0.281,3.6,3.6,25.5,291,29.7,55,5.392,2.4,42,32.7,86.0,2.0,2.0,14.0,17.8,0.598,18821,0.4238,-3.6172,0.9896,51.2357,"Azocar, José",789.0,Jose Azocar,CK,avail,SEA
Gustavo Campero,2024,B,LAA,26,-0.063,13,48,672569,2024,46,11,0,1,1,8,0,16.7,0.0,0.239,0.348,0.271,0.619,0.27,6,0,3,44,24,0,2,0,0,0,6,127,0.231,0.308,0.271,0.254,0.263,2.6,5.3,21.1,177,21.4,38,4.897,3.8,32,29.0,38.0,1.0,2.0,8.0,16.7,0.593,22707,-1.2064,-1.0037,0.4928,72.7511,"Campero, Gustavo",9.0,Gustavo Campero#,avail,rook,rook
Nick Yorke,2024,R,PIT,22,-0.0636,11,42,694377,2024,37,8,0,0,2,12,4,28.6,9.5,0.216,0.378,0.286,0.664,0.25,5,0,2,60,28,0,0,0,0,1,4,110,0.29,0.523,0.289,0.383,0.358,15.4,7.7,30.8,174,31.7,26,4.743,4.3,27,53.9,55.0,4.0,2.0,8.0,19.1,0.471,27504,-1.2342,-0.7805,0.1377,81.7178,"Yorke, Nick",4957.0,Nick Yorke,avail,rook,rook
Conner Capel,2024,L,CIN,27,-0.0665,5,8,668843,2024,8,2,0,0,0,2,0,25.0,0.0,0.25,0.25,0.25,0.5,0.333,0,0,1,6,3,0,0,0,0,0,1,19,0.19,0.241,0.22,0.187,0.19,0.0,0.0,16.7,25,25.0,6,0.63,2.8,4,16.7,6.0,0.0,0.0,1.0,25.0,0.68,19983,-0.4398,-0.4709,0.1839,31.5488,"Capel, Conner",,Conner Capel*,avail,avail,avail
Jon Singleton,2024,L,HOU,32,-0.0673,119,405,572138,2024,355,83,13,1,13,111,47,27.4,11.6,0.234,0.386,0.321,0.707,0.299,42,0,0,611,318,2,0,0,0,3,46,979,0.228,0.385,0.312,0.31,0.317,8.9,4.5,25.1,1626,30.1,247,47.654,4.6,257,38.5,489.0,22.0,11.0,62.0,15.8,0.485,10441,-12.3694,-1.7813,-3.9648,104.7122,"Singleton, Jon",3.0,Jon Singleton*,avail,avail,avail
