,Name,Pos,Age,PA,R,RBI,2B,HR,SB,CS,bb%,k%,RC27,OPS,XWOBA,O,Def,BsR,WAR,wRC+,RJML,SSBL,CJPL,key_FG,avgL,obpL,slgL,opsL,avgR,obpR,slgR,opsR
481,Benjamin Rice*,3,25,178,20,23,6,7,0,1,11.2,27.0,3.0,0.613,0.336,107,-1.7687,-0.4647,-0.1893,72.8331,avail,rook,rook,29576,0.135,0.267,0.216,0.483,0.183,0.263,0.391,0.654
482,Forrest Wall*,79,28,35,4,1,0,0,4,3,8.6,22.9,2.5,0.564,0.235,17,-1.0883,-0.4077,-0.1909,63.7426,avail,avail,avail,16496,0.333,0.333,0.333,0.666,0.241,0.312,0.241,0.553
483,Tristan Gray*,35,28,31,0,0,1,0,0,0,9.7,51.6,1.0,0.337,0.207,7,0.6661,-0.0569,-0.1937,5.9111,avail,avail,avail,19877,0.333,0.5,0.333,0.833,0.08,0.148,0.12,0.268
484,Joey Gallo*,39,30,260,24,27,9,10,3,1,12.3,39.2,3.3,0.613,0.288,153,-2.0624,-0.922,-0.1959,75.6559,TB,SLB,ANG,14128,0.115,0.156,0.23,0.386,0.179,0.316,0.377,0.693
485,Patrick Wisdom,3597,32,174,16,23,7,8,5,0,5.7,33.9,3.2,0.629,0.288,112,-3.1915,0.7032,-0.199,74.8557,CAM,WAU,HAM,13602,0.183,0.252,0.376,0.628,0.154,0.214,0.415,0.629
486,Manuel Margot,798,29,343,37,31,17,4,5,0,6.1,15.7,3.2,0.626,0.31,190,-6.0002,0.922,-0.2036,78.784,TB,PP,OBS,14712,0.269,0.322,0.391,0.713,0.208,0.257,0.283,0.54
487,David Hensley,937,28,58,9,4,1,1,1,0,10.3,29.3,3.3,0.581,0.215,34,-1.8051,0.2376,-0.2099,65.4499,avail,avail,avail,25111,0.205,0.244,0.308,0.552,0.231,0.412,0.231,0.643
488,Sam Haggerty#,7,30,16,1,1,0,0,1,0,6.3,25.0,0.4,0.192,0.193,5,-0.1756,0.1842,-0.2102,-40.7781,DV,avail,avail,18054,0.091,0.091,0.091,0.182,0.0,0.2,0.0,0.2
489,Matt Carpenter*,3,38,157,15,15,7,4,0,2,9.6,32.5,4.2,0.686,0.292,92,-4.1739,-2.2,-0.2137,95.0873,avail,SR,avail,8090,0.294,0.368,0.294,0.662,0.225,0.307,0.383,0.69
490,Seth Brown*,739,31,400,32,44,11,14,4,2,6.3,28.0,3.6,0.661,0.296,225,-10.8301,-0.5603,-0.2179,91.1449,BRA,avail,STL,18171,0.259,0.286,0.37,0.656,0.229,0.282,0.38,0.662
491,Grant McCray*,8,23,130,13,10,3,5,5,0,4.6,43.1,2.9,0.617,0.255,73,-3.6613,1.753,-0.2234,70.516,avail,rook,rook,25690,0.125,0.192,0.292,0.484,0.22,0.25,0.4,0.65
492,Zachary Dezenzo,35,24,65,5,8,2,2,0,0,4.6,33.8,3.0,0.648,0.3,34,-3.1616,-0.0029,-0.2246,84.1792,avail,rook,rook,31562,0.143,0.182,0.143,0.325,0.293,0.326,0.488,0.814
