,Name,Pos,Age,PA,R,RBI,2B,HR,SB,CS,bb%,k%,RC27,OPS,XWOBA,O,Def,BsR,WAR,wRC+,RJML,SSBL,CJPL,key_FG,avgL,obpL,slgL,opsL,avgR,obpR,slgR,opsR
565,Keston Hiura,4,27,27,1,1,0,0,0,1,0.0,37.0,0.5,0.296,0.185,5,-0.7945,-1.2265,-0.5181,-26.105,avail,rook,rook,20003,0.143,0.143,0.143,0.286,0.15,0.15,0.15,0.3
566,Nick Senzel,59,29,267,25,18,11,7,1,3,10.5,22.8,2.9,0.614,0.301,136,-5.0026,-0.7231,-0.5296,73.3384,RM,SR,OCG,19293,0.185,0.284,0.369,0.653,0.199,0.283,0.316,0.599
567,Ryan Kreidler,65,26,65,9,2,0,1,5,3,9.2,29.2,0.8,0.369,0.232,26,-0.5261,-0.0262,-0.5311,9.1533,avail,avail,avail,25867,0.111,0.158,0.111,0.269,0.122,0.217,0.195,0.412
568,Aledmys Diaz,6345,33,34,2,1,0,0,0,0,2.9,26.5,0.3,0.209,0.213,7,-0.6593,-0.0729,-0.5353,-41.8241,BRA,TT,LWC,15937,0.111,0.111,0.111,0.222,0.083,0.12,0.083,0.203
569,Chuckie Robinson,2,29,76,2,0,0,0,0,0,6.6,26.3,0.8,0.326,0.209,16,1.6249,-0.2715,-0.5391,-4.7232,avail,rook,rook,19824,0.091,0.167,0.091,0.258,0.146,0.212,0.146,0.358
570,Mitch Haniger,9,33,423,42,44,12,12,0,0,9.5,29.8,3.1,0.62,0.294,233,-10.6115,-1.5559,-0.5513,84.9789,CC,avail,avail,14274,0.178,0.234,0.252,0.486,0.224,0.313,0.38,0.693
571,Coby Mayo,53,22,46,4,0,0,0,0,0,8.7,47.8,0.7,0.294,0.224,12,-1.2457,-0.0336,-0.5526,-6.4947,avail,rook,rook,28312,0.143,0.294,0.143,0.437,0.074,0.138,0.074,0.212
572,Chris Taylor,7548,33,246,28,23,7,4,5,1,11.4,30.9,3.1,0.598,0.298,141,-4.9233,-1.1267,-0.5558,74.4283,ALA,CW,TBT,13757,0.183,0.289,0.256,0.545,0.214,0.304,0.328,0.632
573,Robbie Grossman#,97,34,245,21,16,8,3,3,0,13.9,23.7,3.3,0.615,0.29,125,-8.531,-0.1696,-0.5684,82.2727,GNB,SLB,TBT,5254,0.243,0.349,0.374,0.723,0.178,0.294,0.208,0.502
574,Enmanuel Valdez*,45,25,223,23,28,12,6,1,1,7.6,23.8,3.2,0.633,0.309,132,-5.5544,-0.2056,-0.575,71.6213,ROC,avail,avail,21716,0.094,0.171,0.125,0.296,0.237,0.289,0.408,0.697
575,Ryan Noda*,3,28,111,8,4,4,1,0,0,12.6,33.3,2.0,0.466,0.254,47,-1.2721,-0.9762,-0.5799,44.3587,HAR,ECB,LWC,23312,0.133,0.278,0.333,0.611,0.138,0.25,0.188,0.438
576,Adam Frazier*,4975,32,294,35,22,10,4,3,0,7.5,20.1,3.1,0.576,0.289,165,-3.2295,0.1953,-0.5822,63.1279,CC,SR,JFS,15223,0.172,0.226,0.172,0.398,0.206,0.288,0.309,0.597
577,Harold Ramirez,97,29,246,28,29,7,2,6,2,2.0,20.3,3.3,0.604,0.257,141,-6.6178,0.597,-0.589,72.34,RAC,WAU,GAP,14387,0.277,0.292,0.362,0.654,0.25,0.273,0.299,0.572
578,Corey Julks,798,28,189,17,14,7,3,5,2,7.9,26.5,2.6,0.581,0.266,93,-4.3564,-0.3069,-0.5922,65.9178,CAM,avail,avail,20311,0.262,0.319,0.333,0.652,0.169,0.235,0.281,0.516
579,Sean Bouchard,97,28,108,14,8,7,1,4,0,11.1,30.6,3.5,0.587,0.261,67,-4.1223,0.4846,-0.5955,55.6799,STE,avail,avail,21270,0.2,0.286,0.3,0.586,0.18,0.292,0.295,0.587
580,Kyle Stowers*,789,26,209,15,24,11,3,0,1,6.2,35.4,3.0,0.601,0.292,113,-4.5612,-0.1617,-0.6209,67.1593,RAM,avail,avail,26151,0.175,0.233,0.3,0.533,0.217,0.277,0.342,0.619
581,Andrew Knizner,2,29,93,5,9,1,1,0,0,1.1,23.7,1.1,0.394,0.25,32,1.116,-0.2844,-0.6253,6.1496,VAN,CB,STL,19514,0.154,0.148,0.192,0.34,0.172,0.197,0.219,0.416
582,Will Benson*,798,26,388,41,43,19,14,16,7,10.3,39.7,3.4,0.65,0.271,248,-5.873,-1.6123,-0.6373,74.9907,VAN,SB,HAM,21853,0.153,0.271,0.254,0.525,0.194,0.274,0.401,0.675
583,Mike Ford*,3,31,62,2,4,0,1,0,0,3.2,24.2,1.2,0.41,0.232,20,-0.9934,-0.1978,-0.6398,4.6621,DV,CW,ILK,15585,0.167,0.167,0.167,0.334,0.143,0.182,0.262,0.444
584,Jordan Walker,9,22,178,16,20,10,5,1,0,5.6,28.1,2.9,0.619,0.284,100,-6.3418,0.2678,-0.6416,71.5066,GH,NB,TBT,27475,0.17,0.304,0.383,0.687,0.214,0.23,0.359,0.589
585,Luke Maile,2,33,154,8,8,4,2,2,0,8.4,33.8,2.2,0.52,0.24,64,-1.5036,0.1023,-0.6575,45.194,CC,WAU,avail,13355,0.2,0.298,0.375,0.673,0.168,0.255,0.2,0.455
586,Wilmer Flores,35,32,242,19,26,12,4,0,0,8.3,13.6,2.9,0.595,0.286,127,-4.278,-1.0489,-0.671,68.1149,ROC,SSF,ILK,5827,0.216,0.269,0.351,0.62,0.197,0.284,0.291,0.575
587,Ji Hwan Bae*,89,24,81,11,6,2,0,6,2,7.4,29.6,2.0,0.463,0.276,43,-2.6768,0.2418,-0.6712,30.1979,HIG,SR,MBL,23818,0.143,0.143,0.143,0.286,0.194,0.257,0.224,0.481
588,Alan Trejo,456,28,67,4,1,0,0,0,0,3.0,22.4,0.7,0.325,0.212,16,1.0966,-0.1388,-0.6729,-21.1179,STE,avail,avail,20056,0.091,0.091,0.091,0.182,0.171,0.227,0.171,0.398
589,Christian Encarnacion-Strand,3,24,123,13,16,6,2,0,0,3.3,28.5,1.8,0.513,0.306,62,-0.9267,0.1127,-0.6732,33.3764,GNB,OCS,WAW,30011,0.167,0.211,0.194,0.405,0.2,0.224,0.338,0.562
590,Nick Allen,65,25,105,6,4,4,1,0,0,4.8,19.0,1.8,0.463,0.225,41,-1.4367,-0.5596,-0.6732,33.2241,ALA,avail,GDJ,22277,0.158,0.179,0.289,0.468,0.186,0.238,0.22,0.458
591,Nick Madrigal,54,27,94,5,10,3,0,1,0,4.3,10.6,2.4,0.536,0.27,44,-3.3702,-1.5691,-0.6846,57.1272,CK,SIP,STL,20521,0.241,0.29,0.31,0.6,0.211,0.274,0.228,0.502
592,Javier Baez,6,31,289,25,37,12,6,8,1,4.2,23.9,1.9,0.515,0.268,147,1.9621,0.6375,-0.6925,42.7265,TB,avail,RAH,12979,0.159,0.185,0.238,0.423,0.191,0.232,0.311,0.543
593,Marco Luciano,46,22,81,10,3,5,0,0,1,6.2,34.6,2.5,0.562,0.292,39,-5.2292,-0.2387,-0.6978,58.8542,GH,VM,BAB,25616,0.292,0.32,0.417,0.737,0.173,0.232,0.25,0.482
594,Bobby Dalbec,359,29,93,6,8,2,1,3,0,8.6,46.2,1.5,0.41,0.186,41,-0.6158,-0.148,-0.6991,14.4342,CAM,avail,MMA,19966,0.111,0.179,0.111,0.29,0.149,0.245,0.255,0.5
595,Vaughn Grissom,4,23,114,10,6,3,0,2,0,6.1,21.1,1.8,0.465,0.288,46,-1.5141,0.3389,-0.7001,27.9092,TB,ECB,ANG,26031,0.238,0.333,0.286,0.619,0.179,0.222,0.202,0.424
596,Henry Davis,2,24,122,9,5,4,1,0,0,10.7,36.9,1.8,0.454,0.224,49,-0.5271,-0.1792,-0.7013,30.4562,ALA,TBD,STL,29617,0.25,0.379,0.375,0.754,0.112,0.198,0.162,0.36
597,Braden Shewmake*,654,26,67,4,4,2,1,5,1,1.5,14.9,0.9,0.337,0.196,25,-1.2108,0.9164,-0.713,-15.3485,avail,avail,avail,25817,0.222,0.222,0.222,0.444,0.109,0.121,0.2,0.321
598,Pablo Reyes,5463,30,64,5,5,2,0,1,2,4.7,29.7,1.4,0.451,0.253,25,-2.8455,-0.7512,-0.7303,23.4216,CC,CB,FMB,16357,0.227,0.227,0.318,0.545,0.158,0.238,0.158,0.396
599,Luis Matos,897,22,156,14,25,5,5,0,0,3.2,15.4,2.4,0.584,0.27,86,-4.7407,-0.0369,-0.736,59.5658,ALA,HOB,GDJ,26467,0.208,0.235,0.396,0.631,0.216,0.238,0.324,0.562
600,Jose Fermin,45,25,79,7,4,1,0,2,1,8.9,13.9,1.4,0.438,0.249,31,-3.4874,0.1542,-0.7536,30.2049,avail,avail,avail,21746,0.1,0.143,0.1,0.243,0.226,0.351,0.323,0.674
601,Kris Bryant,93,32,155,9,15,5,2,0,0,8.4,31.0,3.2,0.624,0.293,77,-6.3512,-0.593,-0.7634,69.7442,HOM,avail,RAH,15429,0.132,0.175,0.158,0.333,0.253,0.374,0.358,0.732
602,Trey Lipscomb,534,24,211,20,10,3,1,11,2,7.6,19.0,2.1,0.5,0.26,94,-0.914,0.0292,-0.7878,45.4335,avail,rook,rook,31567,0.125,0.16,0.139,0.299,0.246,0.328,0.288,0.616
603,Dominic Fletcher*,987,26,241,14,17,8,1,0,0,4.6,24.1,2.1,0.508,0.248,98,0.3754,-0.4644,-0.8074,42.8378,CK,avail,OCG,26149,0.176,0.276,0.216,0.492,0.215,0.244,0.267,0.511
604,Niko Goodrum#,57346,32,33,2,0,0,0,1,1,9.1,30.3,0.7,0.291,0.235,9,-4.5248,-0.262,-0.8104,-10.1802,avail,rook,rook,12092,0.167,0.375,0.167,0.542,0.087,0.125,0.087,0.212
605,Nick Gordon*,784,28,275,29,32,11,8,5,5,4.0,24.4,2.9,0.627,0.267,156,-4.1252,-2.8391,-0.8159,69.3121,RAM,avail,avail,16337,0.185,0.214,0.37,0.584,0.232,0.263,0.369,0.632
606,Justin Foscue,3,25,44,3,1,1,0,0,0,4.5,40.9,0.2,0.162,0.132,9,-1.2955,-0.0186,-0.8162,-60.0167,avail,rook,rook,27501,0.059,0.111,0.059,0.17,0.04,0.077,0.08,0.157
607,Nolan Jones*,7,26,297,28,28,13,3,5,4,12.1,30.6,3.4,0.641,0.288,167,-6.6794,-0.4195,-0.8249,69.6552,RM,SB,NYZ,20529,0.205,0.283,0.265,0.548,0.237,0.338,0.347,0.685
608,Gavin Sheets*,39,28,501,35,45,24,10,2,2,8.6,21.2,3.8,0.66,0.312,272,-15.3451,-2.8661,-0.8816,87.7465,BRA,SB,avail,19901,0.205,0.25,0.325,0.575,0.239,0.315,0.364,0.679
609,Ty France,3,29,535,46,51,24,13,1,1,7.1,21.3,3.6,0.67,0.305,294,-18.2335,-3.6146,-0.8982,92.6612,HAL,IR,WAW,17982,0.231,0.321,0.35,0.671,0.235,0.299,0.37,0.669
610,Eloy Jimenez,0,27,349,25,23,14,6,3,0,6.3,20.1,3.1,0.625,0.3,165,-9.3578,-2.5179,-0.9201,78.297,BRA,MVR,NYZ,17484,0.236,0.277,0.292,0.569,0.238,0.294,0.353,0.647
611,Edward Olivares,9,28,196,22,23,4,5,1,0,8.2,18.9,3.4,0.624,0.331,114,-9.4395,0.2761,-0.9226,73.1406,WHI,OCS,FMB,19698,0.215,0.289,0.405,0.694,0.232,0.292,0.274,0.566
612,Joey Meneses,3,32,313,19,42,11,3,2,0,6.7,20.1,2.9,0.593,0.276,162,-7.5838,-0.1434,-0.9756,67.5635,DAY,CB,OCG,14366,0.174,0.247,0.233,0.48,0.256,0.31,0.333,0.643
613,Omar Narvaez*,2,32,69,4,5,2,0,0,0,4.3,17.4,1.0,0.376,0.195,23,-4.105,-0.1313,-0.9818,8.2931,ALA,avail,avail,13338,0.2,0.333,0.2,0.533,0.15,0.177,0.183,0.36
614,Miguel Vargas,57,24,237,22,16,7,5,3,1,10.5,24.1,2.1,0.506,0.26,112,-3.7089,0.657,-0.9958,46.4847,PR,MVR,MMA,20178,0.181,0.261,0.289,0.55,0.13,0.241,0.236,0.477
615,Christopher Morel,547,25,611,56,60,11,21,8,7,10.0,26.0,3.1,0.634,0.318,337,-14.9784,-2.2332,-1.0009,81.8841,BRA,SB,RAH,21897,0.148,0.258,0.296,0.554,0.208,0.296,0.358,0.654
616,Jordan Beck,798,23,184,14,13,6,3,7,1,6.5,35.3,2.3,0.521,0.269,87,-2.5836,1.6933,-1.0052,31.9701,avail,rook,rook,31431,0.17,0.214,0.283,0.497,0.197,0.258,0.274,0.532
617,Dylan Carlson#,798,25,265,19,25,7,3,2,1,8.3,28.3,2.9,0.564,0.256,132,-8.6436,0.3846,-1.0262,66.5113,GRF,KR,RAH,20126,0.212,0.31,0.293,0.603,0.206,0.268,0.265,0.533
618,Adam Duvall,97,35,330,29,30,10,11,0,0,6.4,30.0,2.5,0.568,0.289,166,-4.1859,-0.2866,-1.0374,58.0366,DAY,NB,LWC,10950,0.252,0.341,0.514,0.855,0.143,0.188,0.219,0.407
619,Jack Suwinski*,879,25,277,29,26,8,9,9,1,9.7,28.5,3.0,0.588,0.295,160,-8.7913,1.314,-1.1275,61.7722,TB,SR,NYZ,22244,0.229,0.27,0.343,0.613,0.175,0.264,0.321,0.585
620,Yan Gomes,2,36,96,7,7,2,2,0,0,2.1,37.5,1.2,0.421,0.266,36,-4.9489,-0.0761,-1.1805,16.3603,CK,SB,ILK,9627,0.062,0.118,0.062,0.18,0.173,0.192,0.28,0.472
621,Hunter Goodman,2973,24,224,24,36,9,13,1,1,3.6,28.6,2.8,0.645,0.282,141,-8.4471,-0.28,-1.202,61.2868,VAN,VM,avail,29715,0.207,0.239,0.471,0.71,0.177,0.22,0.379,0.599
622,Bryan De La Cruz,79,27,622,61,68,25,21,5,2,4.7,27.3,3.5,0.655,0.307,357,-13.1706,-2.5886,-1.2321,77.3055,STE,NB,ANG,19600,0.285,0.309,0.425,0.734,0.21,0.254,0.365,0.619
623,Tim Anderson,6,31,241,16,9,3,0,4,4,2.9,28.2,1.5,0.463,0.23,79,0.4336,-1.4018,-1.4513,26.7564,HIG,SSF,HAM,15172,0.235,0.278,0.247,0.525,0.201,0.212,0.215,0.427
624,Noelvi Marte,5,22,242,24,18,9,4,9,3,3.7,31.0,2.6,0.549,0.274,124,-7.9902,1.0226,-1.4871,46.4774,CK,KR,NYZ,26517,0.214,0.267,0.333,0.6,0.209,0.244,0.294,0.538
625,Martin Maldonado,2,37,147,9,11,3,4,0,0,5.4,34.7,1.0,0.404,0.223,54,-2.9843,-1.4373,-1.498,10.918,DAY,SSF,SEA,6887,0.049,0.093,0.122,0.215,0.149,0.208,0.277,0.485
626,Jose Abreu,3,37,120,10,7,2,2,0,0,3.3,23.3,0.8,0.362,0.199,39,-4.1925,-0.7459,-1.51,0.3519,WHI,avail,GAP,15676,0.118,0.189,0.176,0.365,0.127,0.157,0.203,0.36
627,Elehuris Montero,3,25,247,23,28,10,4,0,0,8.1,22.7,2.6,0.571,0.274,128,-8.5253,-2.3499,-1.8747,47.5209,TB,avail,MBL,20543,0.164,0.242,0.164,0.406,0.219,0.276,0.349,0.625
628,Eddie Rosario*,798,32,319,33,35,12,10,9,1,5.0,24.1,2.2,0.531,0.259,174,-11.138,2.0421,-2.0242,44.6241,GNB,WAU,ILK,12155,0.172,0.242,0.172,0.414,0.175,0.211,0.332,0.543
629,Brandon Drury,453,31,360,28,15,7,4,1,0,7.5,22.5,1.6,0.47,0.261,133,-3.2744,-1.9269,-2.089,34.3882,CAM,TT,WAW,11615,0.176,0.212,0.203,0.415,0.167,0.25,0.235,0.485
